189;18;22
190;18;22
189;18;22
201;18;54
194;18;54
193;18;54
197;18;118
198;18;118
202;18;118
208;18;246
209;18;246
207;18;246
220;19;502
220;19;502
222;19;502
241;20;1014
246;20;1014
245;20;1014
280;22;2038
280;22;2038
309;22;2038
321;24;4086
327;24;4086
322;24;4086
358;30;8182
357;29;8182
360;30;8182
462;32;16374
439;32;16374
443;32;16374
607;36;32758
593;36;32758
598;36;32758
886;38;65526
879;38;65526
877;38;65526
1322;38;131062
1326;67;131062
1329;38;131062
1809;69;262134
1867;69;262134
1843;69;262134
2564;69;524278
2556;134;524278
2469;69;524278
3841;134;1048566
3763;69;1048566
3843;69;1048566
6337;69;2097142
6500;134;2097142
6269;69;2097142
11477;134;4194294
11764;134;4194294
11563;134;4194294
22713;134;8388598
22235;134;8388598
21542;96;8388598
44285;134;16777206
43697;134;16777206
43799;134;16777206
86350;159;33554422
86417;137;33554422
85495;196;33554422
171402;203;67108854
