1356;69;927656
1374;108;927656
1367;108;927656
1536;77;1827667
1551;71;1827667
1546;80;1827667
1864;119;3627689
1874;217;3627689
1866;217;3627689
2474;471;7227733
2489;369;7227733
2457;463;7227733
3684;380;14427821
3586;500;14427821
3549;505;14427821
5932;474;28827997
5764;321;28827997
5782;474;28827997
10367;322;57628349
10253;463;57628349
10391;328;57628349
18895;463;115229053
19088;463;115229053
19076;463;115229053
37416;463;230430461
37504;463;230430461
38161;463;230430461
71746;311;460833277
74200;315;460833277
75630;311;460833277
143291;305;921638909
